rndrng_npi,rndrng_prvdr_city,rndrng_prvdr_state_abrvtn,rndrng_prvdr_type,avg_mdcr_alowd_amt,avg_mdcr_pymt_amt,avg_mdcr_stdzd_amt,tot_benes,tot_bene_day_srvcs
1104052620,Ewa Beach,HI,Family Practice,139.14,111.22,104.72,64.0,111.0
1730184995,Houston,TX,Family Practice,134.76126437,134.76126437,129.89,87.0,87.0
1508379751,Alford,FL,Nurse Practitioner,44.495714286,34.165714286,34.387857143,14.0,14.0
1568722858,Evansville,IN,Otolaryngology,43.876850394,29.636220472,32.667637795,93.0,127.0
1730693169,North Liberty,IA,Chiropractic,38.067493473,27.212872063,28.4145953,31.0,383.0
1922235688,Bethel Park,PA,Family Practice,0.01,0.01,0.01,19.0,19.0
1659335438,Reston,VA,Ambulatory Surgical Center,1361.3358333,1082.5066667,1062.5716667,12.0,12.0
1669473955,Braintree,MA,Internal Medicine,2.9643,2.9643,2.94,391.0,1200.0
1639223084,Paxton,IL,Mass Immunizer Roster Biller,37.237075472,37.237075472,39.2,106.0,106.0
1720139116,Austin,TX,General Practice,107.89,71.017777778,74.605,18.0,18.0
1932693140,Hoover,AL,Podiatry,32.101929825,23.850175439,26.228245614,41.0,41.0
1184288219,Melrose,MA,Internal Medicine,210.77666667,175.05166667,161.93833333,24.0,24.0
1053826297,Coconut Creek,FL,Nurse Practitioner,119.39345133,94.411725664,89.345044248,216.0,226.0
1144223504,Marion,NC,Optometry,123.56638298,74.625744681,78.425319149,42.0,47.0
1649543463,Mesquite,NV,Physician Assistant,108.14241379,86.492413793,83.71,27.0,28.0
1548571888,Leesburg,FL,Diagnostic Radiology,54.332083333,39.96875,40.53125,24.0,24.0
1073667101,New York,NY,Neurology,200.99431034,143.115,129.73275862,50.0,58.0
1053671347,Richmond,VA,Interventional Cardiology,12.715,10.085784314,9.9430392157,93.0,102.0
1780125633,Warren,NJ,Clinical Laboratory,16.109166667,16.109166667,15.97,11.0,12.0
1831177476,New York,NY,Diagnostic Radiology,12.514545455,10.014545455,8.68,11.0,11.0
1083098842,Denver,CO,Licensed Clinical Social Worker,111.78429752,88.359752066,87.915661157,17.0,242.0
1093056046,Bellingham,WA,Nurse Practitioner,6.2418181818,4.2472727273,3.5212121212,30.0,33.0
1427286368,Boardman,OH,Family Practice,69.340243902,52.622926829,53.213902439,16.0,41.0
1063004505,Harlingen,TX,Physical Therapist in Private Practice,20.405789474,16.195789474,16.425263158,15.0,37.0
1790330108,St George,UT,Physician Assistant,73.943913043,55.76826087,58.210434783,63.0,69.0
1881654473,Dubuque,IA,Internal Medicine,68.413846154,68.413846154,68.478333333,78.0,78.0
1295283174,Hillsboro,OR,Physician Assistant,106.84388889,106.84388889,110.41,18.0,18.0
1164875647,Findlay,OH,Nurse Practitioner,104.87869565,79.89826087,81.947391304,23.0,23.0
1790746857,Minnetonka,MN,Family Practice,140.135,140.135,139.78,44.0,44.0
1588614069,Mt Pleasant,IA,Podiatry,33.969206349,26.72,28.45031746,28.0,63.0
1174949085,Sacramento,CA,Vascular Surgery,115.4682716,81.952592593,79.803580247,81.0,81.0
1366805103,Portland,ME,Hospitalist,185.64777778,165.84037037,174.10259259,26.0,27.0
1164788212,Davenport,FL,Pathology,141.73272727,113.21272727,113.41,11.0,11.0
1912266511,Tulare,CA,Cardiology,477.24277778,381.70611111,417.01,18.0,18.0
1942208228,Winter Haven,FL,Diagnostic Radiology,156.86,122.98333333,126.54111111,18.0,18.0
1679928089,Shenandoah,TX,Family Practice,161.186,161.186,166.18,15.0,15.0
1003979550,Kalispell,MT,Vascular Surgery,33.8093125,24.599625,26.4476875,128.0,160.0
1053660415,Punta Gorda,FL,Nurse Practitioner,4.6917948718,4.6917948718,4.6482051282,35.0,39.0
1770741944,Inverness,IL,Internal Medicine,205.21563107,157.13407767,149.14330097,100.0,103.0
1093236515,Orlando,FL,Podiatry,85.6025,65.212916667,62.6875,23.0,24.0
1386738136,Steamboat Springs,CO,Plastic and Reconstructive Surgery,506.9015625,399.14375,396.51125,28.0,32.0
1982649943,Yarmouth,ME,Family Practice,68.54,68.54,68.54,39.0,39.0
1114991270,Naples,FL,Nurse Practitioner,106.93703448,81.432137931,83.744965517,140.0,145.0
1598924201,Colorado Springs,CO,Plastic and Reconstructive Surgery,430.02,343.215,283.25785714,27.0,28.0
1609945922,Hazel Crest,IL,Emergency Medicine,79.335588235,49.912647059,45.062941176,34.0,34.0
1528580727,Charleston,WV,Clinical Laboratory,61.185165468,61.185165468,60.9,379.0,695.0
1487940425,Chattanooga,TN,Internal Medicine,186.12367647,148.53745098,155.37862745,200.0,204.0
1629553383,Waldorf,MD,Physician Assistant,141.78758621,98.344482759,98.570344828,29.0,29.0
1932591245,Mill Valley,CA,Physician Assistant,90.767413793,81.096896552,68.590344828,54.0,58.0
1902818073,Waycross,GA,Pulmonary Disease,165.72057143,131.44828571,142.29942857,33.0,35.0
1194748962,Westchester,IL,Dermatology,104.79020408,72.963061224,78.42755102,39.0,49.0
1013978196,Omaha,NE,Cardiology,7.7680582524,5.8230873786,6.1489126214,416.0,453.0
1033314190,Lakeland,FL,Vascular Surgery,125.82766129,98.907177419,100.45177419,101.0,124.0
1427159904,Bountiful,UT,Physician Assistant,136.7935,66.292,71.3595,20.0,20.0
1518329473,Cincinnati,OH,Internal Medicine,16.63,16.63,16.46,12.0,12.0
1912016437,El Cajon,CA,Mass Immunizer Roster Biller,9.8033514986,9.8033514986,9.79,55.0,63.0
1629418215,Anchorage,AK,Family Practice,16.596515152,16.596515152,16.46,58.0,66.0
1295882769,Grass Valley,CA,Internal Medicine,49.410344828,38.179310345,36.015517241,26.0,29.0
1336182781,Lititz,PA,Family Practice,51.867916667,39.805,40.3775,23.0,24.0
1609856194,El Paso,TX,Interventional Pain Management,13.899423077,10.236346154,10.561538462,93.0,103.0
1952553398,Scottsdale,AZ,Nephrology,2.3141573034,2.3141573034,2.32,56.0,89.0
1194251462,Trexlertown,PA,Family Practice,87.96254717,62.824245283,65.062735849,105.0,106.0
1386002772,Marietta,GA,Nurse Practitioner,110.66470588,82.957058824,80.862941176,12.0,17.0
1003876418,Rancho Mirage,CA,Clinical Cardiac Electrophysiology,32.351804511,25.636295284,24.153998633,217.0,732.0
1558894105,Madison,WI,Emergency Medicine,7.9142857143,5.8707142857,6.0707142857,28.0,28.0
1184610958,Plymouth,MA,Internal Medicine,20.062951542,20.062951542,20.045330396,221.0,227.0
1841290061,York,PA,Orthopedic Surgery,10.8971875,7.6421875,7.63125,32.0,32.0
1013015254,Florence,AL,Pulmonary Disease,8.656,6.906,7.05,20.0,20.0
1760757892,Saint Paul,MN,Hematology-Oncology,94.938333333,75.668333333,78.95,11.0,12.0
1053427815,Collinsville,OK,Family Practice,208.675,118.696875,129.621875,16.0,16.0
1043599186,Salem,VA,Family Practice,2.9522140221,2.9522140221,2.94,208.0,271.0
1558741074,Lubbock,TX,Family Practice,5.711,5.711,5.66,20.0,20.0
1538192877,Ranson,WV,Mass Immunizer Roster Biller,11.08980057,11.08980057,11.027920228,57.0,96.0
1700176229,Pomona,CA,Emergency Medicine,9.5881818182,7.6581818182,7.05,11.0,11.0
1508275678,Humboldt,TN,Physician Assistant,100.11578534,68.602643979,76.010575916,271.0,382.0
1669761631,Brooklyn,NY,Rheumatology,12.786790393,12.786790393,12.69,274.0,458.0
1295947083,Urbana,IL,Cardiology,447.69058824,358.65294118,350.93352941,17.0,17.0
1124381637,Scottsdale,AZ,Interventional Cardiology,69.376226415,55.470754717,54.176415094,53.0,53.0
1215142542,Williamsport,PA,Diagnostic Radiology,45.541724138,33.927586207,32.938965517,29.0,29.0
1821099052,Arlington Heights,IL,Diagnostic Radiology,74.984615385,57.593846154,52.749230769,26.0,26.0
1629362785,Urbandale,IA,Internal Medicine,2.2212,2.2212,2.21,32.0,50.0
1881185171,Lake Barrington,IL,Physical Therapist in Private Practice,33.556363636,26.776363636,26.86,11.0,11.0
1447556584,Roseville,MN,Diagnostic Radiology,9.2075,7.3775,7.32,15.0,15.0
1407838899,Matthews,NC,Internal Medicine,32.422083333,18.35,19.794583333,22.0,24.0
1356878425,Iowa City,IA,Diagnostic Radiology,67.559285714,49.996428571,52.382142857,14.0,14.0
1437156288,Manalapan,NJ,Geriatric Medicine,197.22318182,155.70590909,142.13772727,22.0,22.0
1629187166,Apple Valley,CA,Mass Immunizer Roster Biller,41.5,41.5,39.2,12.0,12.0
1114512878,Orlando,FL,Nurse Practitioner,86.923333333,69.443333333,68.26,30.0,54.0
1730316928,Huntsville,AL,Interventional Radiology,8.679122807,6.8059649123,6.3957894737,51.0,51.0
1780858860,Port Jefferson,NY,Diagnostic Radiology,102.46214286,75.913571429,62.975714286,14.0,14.0
1184628091,Saint George,UT,Optometry,88.147583643,65.150185874,66.881635688,142.0,269.0
1457927626,Portland,OR,Physical Therapist in Private Practice,97.897333333,64.168,66.722666667,15.0,15.0
1043266174,Jeffersonville,IN,Internal Medicine,64.622396907,43.723298969,46.547216495,264.0,388.0
1932162690,Flushing,NY,Diagnostic Radiology,92.7325,74.0025,64.409,20.0,20.0
1962719294,Offutt Afb,NE,Optometry,116.93652174,90.295434783,97.74826087,46.0,46.0
1609071190,Baltimore,MD,Neurology,144.188,111.76228571,104.108,35.0,35.0
1962402289,Pittsburgh,PA,Family Practice,162.75666667,151.80333333,155.1,24.0,24.0
1235611088,South Hill,VA,Nurse Practitioner,2.9647572816,2.9647572816,2.94,66.0,103.0
1790103315,Greenfield,IN,Emergency Medicine,27.445,27.445,16.62,12.0,16.0
1922066703,Omaha,NE,Physician Assistant,77.876842105,49.723684211,92.611052632,18.0,19.0
1134101009,West Plains,MO,Pharmacy,70.25,70.25,70.25,13.0,13.0
1801900220,Santa Clara,CA,Family Practice,0.1230172414,0.0982758621,0.0981034483,13.0,19.0
1609832989,Newton,MA,Pathology,2.9594027304,2.9594027304,2.94,347.0,586.0
1003972746,Detroit,MI,Physician Assistant,96.1976,76.7356,73.338,18.0,19.0
1801870639,Fort Wayne,IN,Pediatric Medicine,60.889130435,49.210869565,57.433043478,17.0,23.0
1023027646,Port Clinton,OH,Optometry,33.836551724,25.858689655,26.90737931,145.0,145.0
1255398616,Sharon Springs,NY,Internal Medicine,161.10153846,128.97153846,129.15,13.0,13.0
1578564118,Texarkana,TX,Diagnostic Radiology,8.6866666667,6.5698245614,6.6921052632,50.0,53.0
1508825696,Cheyenne,WY,Pediatric Medicine,189.37363636,151.08363636,150.58,11.0,11.0
1336427798,Sacramento,CA,Nurse Practitioner,28.396419753,19.952716049,19.448024691,66.0,81.0
1336645712,Frederick,MD,Family Practice,2.2244444444,2.2244444444,2.21,18.0,18.0
1104877497,Santa Monica,CA,Diagnostic Radiology,142.19733333,112.39466667,102.43866667,30.0,30.0
1740236421,Medford,MA,Internal Medicine,40.645882353,40.645882353,40.45,16.0,17.0
1689738304,Livonia,MI,Optometry,11.247090909,7.9350909091,7.6405454545,55.0,55.0
1063805257,Berwick,ME,Nurse Practitioner,109.51348485,80.513939394,79.608787879,63.0,66.0
1366410532,Winter Haven,FL,Internal Medicine,7.6963919822,7.6963919822,7.61,399.0,449.0
1669707055,Hot Springs,AR,Physical Therapist in Private Practice,9.8626206897,7.6066896552,8.424,17.0,145.0
1750304663,New York,NY,Dermatology,68.680769231,48.355384615,40.118974359,36.0,39.0
1770928129,Birmingham,AL,Cardiology,24.292325581,19.412325581,20.35,43.0,43.0
1205097110,Scottsdale,AZ,Cardiology,501.3396,393.8228,393.6724,25.0,25.0
1730322322,Wheaton,IL,Urology,67.01,53.59,50.2,76.0,229.0
1801100631,Fort Pierce,FL,Nurse Practitioner,132.57135135,93.425675676,90.641351351,37.0,37.0
1255838165,Hixson,TN,Family Practice,153.86137255,101.85882353,113.34333333,51.0,51.0
1871540146,Fayetteville,NC,Ophthalmology,31.812027027,22.561351351,23.238558559,198.0,222.0
1790128940,Denver,CO,Pulmonary Disease,96.028421053,76.618421053,76.51,19.0,19.0
1366528739,West Nyack,NY,Interventional Cardiology,17.727988506,13.14302682,10.50862069,416.0,522.0
1386692408,Charlotte,NC,Physician Assistant,91.243181818,64.840909091,67.984090909,17.0,22.0
1831352848,Montclair,NJ,Physical Medicine and Rehabilitation,75.0004,57.4148,51.8304,21.0,25.0
1801115159,Edgewood,KY,Diagnostic Radiology,8.6138034188,6.5845726496,6.7513247863,220.0,232.0
1154856748,Dallas,TX,Pathology,26.758653846,21.362884615,22.082307692,13.0,13.0
1457367237,Vineland,NJ,Podiatry,48.646129032,33.994064516,30.922193548,48.0,155.0
1598939852,Louisville,KY,Nurse Practitioner,7.7475438596,7.7475438596,7.61,51.0,57.0
1982686259,Green Valley,AZ,Nurse Practitioner,108.27142857,108.27142857,110.41,28.0,28.0
1811332703,Newark,DE,Family Practice,96.997583893,56.61147651,89.541409396,82.0,149.0
1780699272,Boston,MA,Diagnostic Radiology,58.52097561,43.135365854,38.484878049,41.0,41.0
1255380861,Exeter,NH,Internal Medicine,14.483043478,14.483043478,14.41,23.0,23.0
1588920938,Great Neck,NY,Endocrinology,9.5904705882,9.5904705882,9.52,61.0,85.0
1639278138,Hammond,IN,Neurology,107.43464789,85.704647887,80.32,70.0,71.0
1720135577,Fall River,MA,Critical Care (Intensivists),129.225,103.485,97.95,14.0,14.0
1417909029,Williamsport,PA,Geriatric Medicine,191.85394737,146.27921053,148.79157895,31.0,38.0
1538137542,North Canton,OH,Internal Medicine,121.26636364,92.424805195,93.681948052,76.0,77.0
1851943757,Springfield,OH,Nurse Practitioner,73.819360465,45.895755814,48.863023256,137.0,172.0
1548203235,Birmingham,AL,Hematology-Oncology,14.710819672,11.73757377,12.752016393,98.0,286.0
1003308198,Tulsa,OK,Certified Registered Nurse Anesthetist (CRNA),30.2503125,23.48875,23.69,32.0,32.0
1306988811,Garden City,NY,Pulmonary Disease,277.7173913,277.7173913,277.24043478,23.0,23.0
1306871421,Huntington Beach,CA,Neurology,449.77333333,358.76333333,307.67,41.0,42.0
1750407854,Gettysburg,PA,Family Practice,10.387627965,10.387627965,10.337865169,405.0,801.0
1871574962,Vineland,NJ,Internal Medicine,307.55923077,245.47,220.02769231,13.0,13.0
1528379609,Charlotte,NC,Internal Medicine,28.088857143,28.088857143,16.62,34.0,35.0
1801897194,Fresno,CA,Ophthalmology,324.99506667,255.30293333,240.59346667,63.0,75.0
1215115969,West Columbia,SC,Hospitalist,95.732666667,71.449333333,74.002666667,15.0,15.0
1598064909,Las Vegas,NV,Ophthalmology,35.981052632,22.490526316,23.517368421,19.0,19.0
1467410290,Kansas City,MO,Family Practice,79.2875,35.65,161.068125,13.0,16.0
1750623112,Edison,NJ,Physical Medicine and Rehabilitation,73.6422,56.922,51.9297,50.0,100.0
1265978134,Holland,MI,Physician Assistant,50.796666667,50.796666667,110.41,12.0,12.0
1881791382,Irving,TX,Mass Immunizer Roster Biller,40.08552795,40.08552795,39.2,158.0,161.0
1710938758,Houston,TX,Orthopedic Surgery,180.49222222,136.82388889,133.27444444,18.0,18.0
1881611168,Aurora,CO,Mass Immunizer Roster Biller,36.244782609,36.244782609,39.2,69.0,69.0
1679920904,Williston,VT,Family Practice,34.995,24.78452381,24.443095238,38.0,39.0
1073672598,Glenview,IL,Neurology,146.88586207,94.665517241,86.067931034,29.0,29.0
1770541781,Peabody,MA,Internal Medicine,6.3955371901,6.3955371901,6.34,111.0,121.0
1851895387,Indianapolis,IN,Nurse Practitioner,45.08375,24.575892857,27.249642857,32.0,56.0
1649899493,Houston,TX,Nurse Practitioner,103.3544186,70.489767442,75.172325581,16.0,43.0
1982617072,Port Charlotte,FL,Cardiology,26.520931373,20.908284314,20.643905229,78.0,612.0
1518965813,Springdale,AR,Gastroenterology,95.7475,74.911136364,78.639318182,27.0,44.0
1356384499,Saginaw,MI,Surgical Oncology,163.5002439,118.16439024,120.60268293,41.0,41.0
1013019710,Novi,MI,Psychiatry,75.590944882,52.237480315,64.981574803,54.0,127.0
1447895826,Charlottesville,VA,Physician Assistant,105.13568627,105.13568627,110.41,51.0,51.0
1063739951,Nashville,TN,Diagnostic Radiology,50.539090909,40.475454545,39.968181818,11.0,11.0
1902138472,Schuylkill Haven,PA,Chiropractic,27.078828829,15.844864865,16.35045045,27.0,111.0
1174572291,York,PA,Infectious Disease,214.69439189,170.82472973,170.78,43.0,148.0
1114922531,Mckinney,TX,Medical Oncology,55.063962264,41.561132075,42.623584906,16.0,53.0
1356488845,Phoenix,AZ,Family Practice,3.4476699029,3.4476699029,3.41,82.0,103.0
1508376856,Milwaukee,WI,Diagnostic Radiology,33.967209302,25.602790698,24.074418605,43.0,43.0
1568754901,Chattanooga,TN,Anesthesiology,17.158888889,13.688888889,14.11,18.0,18.0
1841489440,Los Angeles,CA,General Practice,195.68989474,151.12273684,139.78189474,95.0,95.0
1396755708,Bartlesville,OK,General Surgery,66.447272727,53.219090909,54.203939394,13.0,26.0
1104894427,Bradenton,FL,Obstetrics & Gynecology,112.22857143,83.12,82.93,14.0,14.0
1700159696,Elkton,VA,Mass Immunizer Roster Biller,39.4628,39.4628,39.2,125.0,125.0
1629198189,Boston,MA,Emergency Medicine,116.797,93.243666667,86.277333333,13.0,13.0
1982110623,Braselton,GA,Hospitalist,96.168823529,69.663529412,72.35,16.0,17.0
1083687511,Concord,MA,Orthopedic Surgery,125.09914286,94.513142857,84.32,35.0,35.0
1871835363,Conway,SC,Diagnostic Radiology,27.258478261,20.429347826,20.093913043,46.0,46.0
1124265822,Roseville,CA,Nephrology,204.67857143,156.16666667,148.05714286,42.0,42.0
1184001893,Galveston,TX,Internal Medicine,67.986666667,41.373333333,40.192962963,24.0,27.0
1770589301,Dedham,MA,Ophthalmology,170.97963415,104.54341463,90.736219512,82.0,82.0
1952755159,Silverdale,WA,Podiatry,133.45889764,74.311417323,73.189448819,127.0,127.0
1417351016,Beverly Hills,CA,Physician Assistant,84.87125,62.735,54.031875,30.0,32.0
1386634533,Harlingen,TX,Diagnostic Radiology,8.6556649136,6.4294665665,6.5867693464,865.0,1261.0
1699796409,Green Bay,WI,Orthopedic Surgery,5.8708227848,4.0726582278,4.2517721519,55.0,63.0
1407155286,Madison,WI,Internal Medicine,2.9507142857,2.9507142857,2.94,26.0,28.0
1265106298,Olympia,WA,Nurse Practitioner,10.873783784,8.1597297297,8.13,28.0,32.0
1497857148,Flint,MI,Neurology,112.10852941,86.898823529,89.495,14.0,34.0
1417922709,Stilwell,OK,Family Practice,118.76453039,83.805939227,91.323922652,133.0,362.0
1407245988,Jackson,MS,Certified Registered Nurse Anesthetist (CRNA),147.79230769,117.17013986,121.50363636,143.0,143.0
1366426520,Gloversville,NY,Ophthalmology,312.80875,251.72125,268.663125,13.0,16.0
1366062176,Enterprise,AL,Physician Assistant,2.2204347826,1.7691304348,1.7686956522,12.0,23.0
1447250543,Chicago,IL,Emergency Medicine,74.430833333,54.710833333,52.479166667,12.0,12.0
1871753780,Cleburne,TX,Nephrology,350.21898039,277.96603922,281.10094118,40.0,255.0
1497862353,Pace,FL,Otolaryngology,86.099074074,60.01,63.97962963,44.0,54.0
1124229695,Friendswood,TX,Family Practice,0.4929230769,0.3463076923,0.3435384615,12.0,17.0
1487811550,Atlanta,GA,Cardiology,25.280769231,19.466153846,18.778846154,26.0,26.0
1376631580,Louisville,KY,Dermatology,72.520289855,56.359275362,62.973333333,59.0,61.0
1730475419,Cleburne,TX,Podiatry,135.5296,89.3976,90.0572,16.0,18.0
1437127891,Elmhurst,IL,Internal Medicine,93.223333333,71.514814815,68.267777778,25.0,54.0
1700140969,San Angelo,TX,Allergy/ Immunology,3.8068759936,2.9450794913,3.1658982512,22.0,22.0
1104385269,Las Vegas,NV,Internal Medicine,71.58,57.03,55.89,21.0,53.0
1215942594,Eureka,CA,Centralized Flu,40.690064103,40.690064103,39.2,311.0,312.0
1265847891,Meadowbrook,PA,Emergency Medicine,50.52846395,50.52846395,50.280031348,307.0,318.0
1659355063,St Clair Shores,MI,Oral Surgery (Dentist only),91.000416667,66.7025,66.9075,14.0,24.0
1508907676,Stillwater,OK,Internal Medicine,123.26208333,123.26208333,129.89,96.0,96.0
1477923019,Albany,NY,Physician Assistant,6.914137931,5.3715763547,5.3718719212,183.0,203.0
1538522487,Sayville,NY,Family Practice,151.08247312,126.46688172,106.48064516,92.0,93.0
1740375534,Carmel,IN,Ophthalmology,53.005840708,35.508672566,38.420707965,112.0,113.0
1720272644,Jacksonville,FL,Dermatology,111.59789474,66.462030075,67.242330827,133.0,133.0
1700853793,Longview,TX,Urology,129.06666667,102.97666667,106.09,12.0,12.0
1740546316,Flushing,NY,Clinical Laboratory,485.50850746,387.69402985,312.06850746,64.0,67.0
1548656192,Newark,DE,Internal Medicine,103.84666667,81.215333333,78.335466667,47.0,75.0
1578931325,Renton,WA,Physician Assistant,30.191666667,24.091666667,23.75,17.0,17.0
1346229762,Davenport,IA,Otolaryngology,35.909310345,23.770689655,25.362068966,29.0,29.0
1427126820,Zephyrhills,FL,Cardiology,238.62791667,187.515,194.0175,23.0,24.0
1326093634,Cumberland,MD,Orthopedic Surgery,36.471511628,26.655813953,26.258255814,58.0,80.0
1962660407,Lakewood,CO,Diagnostic Radiology,88.053333333,70.509083333,67.618333333,120.0,120.0
1649460338,Pittsburgh,PA,Emergency Medicine,32.944545455,21.575454545,22.497272727,11.0,11.0
